id,angle
0,314.799841
1,99.72089282
2,172.0609741
3,294.2766189
4,325.8130789
5,335.7567087
6,299.4882548
7,325.2034277
8,33.76362341
9,294.0814898
10,259.9498825
11,221.3465261
12,85.25462438
13,98.23884951
14,281.1426842
15,234.2726023
16,13.56295106
17,84.40086952
18,333.0790254
19,104.3156597
20,317.2082554
21,10.30829582
22,269.5606344
23,166.1245081
24,279.4766161
25,111.4460517
26,253.9116647
27,331.981667
28,285.6981835
29,103.7130999
30,326.7008846
31,47.93737534
32,86.13687498
33,178.9808655
34,253.8306105
35,276.6502191
36,303.055825
37,18.70310189
38,2.242025899
39,84.60012375
40,297.2411877
41,280.8400593
42,90.76473808
43,86.36745079
44,28.3533366
45,340.5349059
46,331.8078032
47,69.6660507
48,296.1374311
49,270.6319131
50,6.398089527
51,309.2580667
52,316.7016473
53,214.0402836
54,92.75893365
55,41.55003116
56,100.4873925
57,188.3530365
58,320.1634544
59,272.2168917
60,127.8833299
61,334.4171259
62,133.0629684
63,7.521239982
64,89.82779457
65,137.7482104
66,73.62862023
67,85.219568
68,240.5996872
69,353.7224592
70,286.3812504
71,105.1631375
72,237.7303839
73,322.4183141
74,75.99260726
75,314.6986222
76,313.2034874
77,224.6566565
78,250.3806022
79,288.9551571
80,155.3457887
81,5.662480817
82,102.5866821
83,129.8117019
84,101.9400929
85,86.28251798
86,2.967313232
87,49.88296102
88,350.3030516
89,141.1536246
90,62.19132715
91,327.6941719
92,337.1175596
93,83.87118023
94,139.8330528
95,228.5508919
96,168.865835
97,23.98941067
98,51.23833232
99,40.39825127
100,313.4215816
101,343.7215837
102,140.029488
103,181.5166153
104,104.7194797
105,95.51156689
106,132.6429088
107,225.8014114
108,323.4630357
109,125.4817342
110,162.0484188
111,249.5949377
112,308.0485647
113,225.4220617
114,151.3875223
115,248.6749094
116,191.3350443
117,160.0371151
118,225.9727115
119,43.91907436
120,35.5553104
121,255.5688467
122,214.1537327
123,176.0931427
124,271.1047503
125,135.4206659
